run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,underflows,overflows,binedges,binvalues
General-0-20231004-21:10:08-4769,statistic,Tictoc16.tic[3],hopCount:stats,,,,6,6,18,16.816658407662,1,45,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[3],hopCount:stats,interpolationmode,none,,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[3],hopCount:stats,recordingmode,stats,,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[3],hopCount:stats,source,arrival,,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[3],hopCount:stats,title,hop count,,,,,,,,,,,
General-0-20231004-21:10:08-4769,statistic,Tictoc16.tic[4],hopCount:stats,,,,10,10,4,5.6174331821176,1,19,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[4],hopCount:stats,interpolationmode,none,,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[4],hopCount:stats,recordingmode,stats,,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[4],hopCount:stats,source,arrival,,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[4],hopCount:stats,title,hop count,,,,,,,,,,,
General-0-20231004-21:10:08-4769,statistic,Tictoc16.tic[5],hopCount:stats,,,,11,11,9.3636363636364,8.9473205740347,1,29,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[5],hopCount:stats,interpolationmode,none,,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[5],hopCount:stats,recordingmode,stats,,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[5],hopCount:stats,source,arrival,,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[5],hopCount:stats,title,hop count,,,,,,,,,,,
General-0-20231004-21:10:08-4769,histogram,Tictoc16.tic[1],hopCount:histogram,,,,13,13,3.1538461538462,3.7382293902808,1,13,0,0,"0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16","0 7 2 0 2 0 0 0 0 1 0 0 0 1 0 0"
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[1],hopCount:histogram,interpolationmode,none,,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[1],hopCount:histogram,recordingmode,histogram,,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[1],hopCount:histogram,source,arrival,,,,,,,,,,,
General-0-20231004-21:10:08-4769,attr,Tictoc16.tic[1],hopCount:histogram,title,hop count,,,,,,,,,,,
